,question,subject,main_entity,image_url
96,This person is a citizen of,Petros Voulgaris,This person,./A photo of Petros Voulgaris
97,This tennis tournament takes place in,2005 Australian Open,This tennis,./A photo of 2005 Australian Open
98,This artist originates from the city of,Giulio Romano,This artist,./A photo of Giulio Romano
99,This city council is located in the country of,Louth County Council,This city,./A photo of Louth County Council
100,The language used by this person is not the language of the,Louis Bonaparte,this person,./A photo of Louis Bonaparte
101,This stadium's owner is,Ajinomoto Stadium,This stadium's,./A photo of Ajinomoto Stadium
102,This software is developed by,Internet Explorer,This software,./A photo of Internet Explorer
103,"In this country, the language spoken is",Singapore,"this country,",./A photo of Singapore
104,The headquarters of this company are in,Euromoney Institutional Investor,this company,./A photo of Euromoney Institutional Investor
105,This airport is located in the country of,Indira Gandhi International Airport,This airport,./A photo of Indira Gandhi International Airport
106,"This empire follows a religion of the same name, which is a mix of",Tang Empire,This empire,./A photo of Tang Empire
107,The capital of this region is,Metropolitan France,this region,./A photo of Metropolitan France
108,This school is located in the country of,Simcoe Composite School,This school,./A photo of Simcoe Composite School
109,This software is a product developed by,X11.app,This software,./A photo of X11.app
110,This wrestler is affiliated with the,Jeff Hardy,This wrestler,./A photo of Jeff Hardy
111,This person has a citizenship of the country of,Izzy Asper,This person,./A photo of Izzy Asper
112,This software was developed by,Process Explorer,This software,./A photo of Process Explorer
113,"In this country, the language spoken is",Vietnam,"this country,",./A photo of Vietnam
114,This company started in the early 1900s as a small company in the city of,Mitsubishi Electric,This company,./A photo of Mitsubishi Electric
115,This person is known for performing in the world's most prestigious venues.,Antonio Sartorio,This person,./A photo of Antonio Sartorio
116,This player professionally plays the sport of,Thierry Henry,This player,./A photo of Thierry Henry
117,The owner of this car company is,Abarth,this car,./A photo of Abarth
118,This athlete professionally plays the sport of,Wayne Rooney,This athlete,./A photo of Wayne Rooney
119,The location of this tennis tournament is in the heart of,Hungarian Ladies Open,this tennis,./A photo of Hungarian Ladies Open
120,The language of this website is a bit different from the language of the,Kavkaz Center,this website,./A photo of Kavkaz Center
121,This place is located in the country of,Etobicoke North,This place,./A photo of Etobicoke North
122,"This person, whose position is that of a ""superior""",Gregory XII,"This person,",./A photo of Gregory XII
123,This song is written in,Le cose che vivi,This song,./A photo of Le cose che vivi
124,The capital of this country is,Egypt,this country,./A photo of Egypt
125,This person passed away in,Coco Chanel,This person,./A photo of Coco Chanel
126,The headquarter of this company is in downtown,Zillow,this company,./A photo of Zillow
127,This city is located in the country of,Trento,This city,./A photo of Trento
128,This person died in the city of,Jan Swammerdam,This person,./A photo of Jan Swammerdam
129,This person is a great example of a,Pius II,This person,./A photo of Pius II
130,This theatre is in,Royal National Theatre,This theatre,./A photo of Royal National Theatre
131,This person is affiliated with the religion of,Hamza ibn Abdul-Muttalib,This person,./A photo of Hamza ibn Abdul-Muttalib
132,"This musician, performing on the",Edmund Neupert,"This musician,",./A photo of Edmund Neupert
133,This company's headquarters are in,Seiyu Group,This company's,./A photo of Seiyu Group
134,Element: This person is known for performing in the world's most prestigious,Gian Francesco Malipiero,This person,./A photo of Gian Francesco Malipiero
135,"In this country, the language spoken is",United Kingdom,"this country,",./A photo of United Kingdom
136,This person died in the city of,Madame de Montesson,This person,./A photo of Madame de Montesson
137,The capital city of this empire is,Second French Empire,this empire,./A photo of Second French Empire
138,"This media conglomerate, that originated in",Grupo Globo,This media,./A photo of Grupo Globo
139,This person is employed by,Vint Cerf,This person,./A photo of Vint Cerf
140,This author writes in the,Olga Vittoria Gentilli,This author,./A photo of Olga Vittoria Gentilli
141,This person worked in the city of,"Henry Somerset, 7th Duke of Beaufort",This person,"./A photo of Henry Somerset, 7th Duke of Beaufort"
142,The headquarters of this hospital are in,King Chulalongkorn Memorial Hospital,this hospital,./A photo of King Chulalongkorn Memorial Hospital
143,This university can be found in the heart of,York University,This university,./A photo of York University
144,This person is a citizen of,Michel Houellebecq,This person,./A photo of Michel Houellebecq
145,This institution is located in the continent of,Camp Academia,This institution,./A photo of Camp Academia
146,The capital city of this place is,United Kingdom of the Netherlands,this place,./A photo of United Kingdom of the Netherlands
147,This national park can be found in the state of,Yellowstone National Park,This national,./A photo of Yellowstone National Park
148,"In this place, the language spoken is",Azerbaijan Soviet Socialist Republic,"this place,",./A photo of Azerbaijan Soviet Socialist Republic
149,This university is located in the country of,Fryderyk Chopin University of Music,This university,./A photo of Fryderyk Chopin University of Music
150,The capital city of this historical country is,Kingdom of Hungary,this historical,./A photo of Kingdom of Hungary
151,This person holds the title of,John XXIII,This person,./A photo of John XXIII
152,This person is employed by,Paul Allen,This person,./A photo of Paul Allen
153,The native language of this person is,Isabelle Breitman,this person,./A photo of Isabelle Breitman
154,This football club is based in,Partick Thistle F.C.,This football,./A photo of Partick Thistle F.C.
155,This person is a citizen of,Jean Bobet,This person,./A photo of Jean Bobet
156,This person is known for performing in the,Antonio Vivaldi,This person,./A photo of Antonio Vivaldi
157,This area is located in the country of,Kluuvi,This area,./A photo of Kluuvi
158,This music player is developed by,iPod Classic,This music,./A photo of iPod Classic
159,This person worked in the city of,Rudolf Steiner,This person,./A photo of Rudolf Steiner
160,This software is owned by the company of,Office Online,This software,./A photo of Office Online
161,This governorate is located in the country of,Al-Hasakah Governorate,This governorate,./A photo of Al-Hasakah Governorate
162,This person is affiliated with the religion of,Shah Alam II,This person,./A photo of Shah Alam II
163,This scientist's expertise is in the field of nuclear,Edward Teller,This scientist's,./A photo of Edward Teller
164,This player professionally plays the sport of,Dirk Nowitzki,This player,./A photo of Dirk Nowitzki
165,This person's domain of work is,Germaine Greer,This person's,./A photo of Germaine Greer
166,This player professionally plays the sport of,Barry Bonds,This player,./A photo of Barry Bonds
167,This athlete professionally plays the sport of,Lawrence Taylor,This athlete,./A photo of Lawrence Taylor
168,The native language of this person is,Nathalie Kosciusko-Morizet,this person,./A photo of Nathalie Kosciusko-Morizet
169,"This musician, performing on the",Van Cliburn,"This musician,",./A photo of Van Cliburn
170,This person died in the city of,James Northcote,This person,./A photo of James Northcote
171,"This scientist, who works as a",Werner Heisenberg,"This scientist,",./A photo of Werner Heisenberg
172,This tournament takes place in,2002 Australian Open,This tournament,./A photo of 2002 Australian Open
173,This media outlet's primary language is,France Info,This media,./A photo of France Info
174,This person worked in the city of,"Hugh Cairns, 1st Earl Cairns",This person,"./A photo of Hugh Cairns, 1st Earl Cairns"
175,This person died in the city of,Louis XVII of France,This person,./A photo of Louis XVII of France
176,This festival can be found in the heart of downtown.,Fantastic Fest,This festival,./A photo of Fantastic Fest
177,"This artist, who has a citizenship of",Josetsu,"This artist,",./A photo of Josetsu
178,This software is a product developed by,Final Cut Pro X,This software,./A photo of Final Cut Pro X
179,The language of this group was a mixture of,I ragazzi di via Panisperna,this group,./A photo of I ragazzi di via Panisperna
180,This place is in the country of,IJmuiden,This place,./A photo of IJmuiden
181,This educational institution is affiliated with the religion of,Hebrew Theological College,This educational,./A photo of Hebrew Theological College
182,This person's native language is,Ariane Labed,This person's,./A photo of Ariane Labed
183,This publishing company was formed in,Chatto & Windus,This publishing,./A photo of Chatto & Windus
184,This person's domain of work is the study of the history of the,Pierre Gilliard,This person's,./A photo of Pierre Gilliard
185,The original language of this newspaper is,Le Globe,this newspaper,./A photo of Le Globe
186,The owner of this company is,Alexa Internet,this company,./A photo of Alexa Internet
187,The original language of this publication is a,Revue de Paris,this publication,./A photo of Revue de Paris
188,The capital of this place is,West Pakistan,this place,./A photo of West Pakistan
189,This band plays a lot of,De-Phazz,This band,./A photo of De-Phazz
190,The headquarter of this company is in,Smith & Wesson,this company,./A photo of Smith & Wesson
191,This person died in the city of,Astley Cooper,This person,./A photo of Astley Cooper
192,This person plays in the position of a defensive,Gus Poyet,This person,./A photo of Gus Poyet
193,"In this city, the language spoken is",Joensuu,"this city,",./A photo of Joensuu
194,This player plays the sport of,Dick Butkus,This player,./A photo of Dick Butkus
195,The original language of this publication was written in,La Jornada,this publication,./A photo of La Jornada
196,The language of this movie was a mixture of,Polisse,this movie,./A photo of Polisse
197,"In this place, the language spoken is a mixture of",Bosco Gurin,"this place,",./A photo of Bosco Gurin
198,This athlete plays in the position of,Tim Tebow,This athlete,./A photo of Tim Tebow
199,This athlete plays as a,Brandon Jenkins (football player),This athlete,./A photo of Brandon Jenkins (football player)
200,This author writes in the,Dominic Behan,This author,./A photo of Dominic Behan
201,This film's original language was written in the late 15th century by the,Passer à l'acte,This film's,./A photo of Passer à l'acte
202,This air base is located in the country of,Iruma Air Base,This air,./A photo of Iruma Air Base
203,This person holds the position of the first,Saint Amandus,This person,./A photo of Saint Amandus
204,This place is located in the country of,Santo Stefano d'Aveto,This place,./A photo of Santo Stefano d'Aveto
205,This operating system is developed by,Windows Mobile,This operating,./A photo of Windows Mobile
206,This aircraft is produced by,B-29 Superfortress,This aircraft,./A photo of B-29 Superfortress
207,This company was formed in 1979 and is headquartered in,"Bandai Co., Ltd.",This company,"./A photo of Bandai Co., Ltd."
208,This player professionally plays the sport of,Johnny Unitas,This player,./A photo of Johnny Unitas
209,The capital of this place is,Ukrainian State,this place,./A photo of Ukrainian State
210,"In this place, the language spoken is",Ruokolahti,"this place,",./A photo of Ruokolahti
211,The headquarters of this organization are in,Hellenic Army,this organization,./A photo of Hellenic Army
212,The owner of this gaming brand is,Xbox,this gaming,./A photo of Xbox
213,This glacier belongs to the continent of,Mawson Glacier,This glacier,./A photo of Mawson Glacier
214,"In this country, the language spoken is",Panama,"this country,",./A photo of Panama
215,This person's native language is,Viacheslav Belavkin,This person's,./A photo of Viacheslav Belavkin
216,This person is affiliated with the religion of,Adi ibn Hatim,This person,./A photo of Adi ibn Hatim
217,"In this kingdom, the language spoken is",Kingdom of Bulgaria,"this kingdom,",./A photo of Kingdom of Bulgaria
218,This district is located in the country of,Nishi-Matsuura District,This district,./A photo of Nishi-Matsuura District
219,"This music genre, that originated in",J-pop,This music,./A photo of J-pop
220,The language of this work was a mixture of,Eclogues,this work,./A photo of Eclogues
221,This show premieres on,How to Make It in America,This show,./A photo of How to Make It in America
222,This mountain belongs to the continent of,Schreckhorn,This mountain,./A photo of Schreckhorn
223,This character is affiliated with the,Henry Pym,This character,./A photo of Henry Pym
224,This school is located in the country of,Cairo American College,This school,./A photo of Cairo American College
225,This person is affiliated with the religion of,Khalid ibn al-Walid,This person,./A photo of Khalid ibn al-Walid
226,This person used a very interesting example of the use of the,"William Fitzwilliam, 4th Earl Fitzwilliam",This person,"./A photo of William Fitzwilliam, 4th Earl Fitzwilliam"
227,This person is employed by the,Steve Claridge,This person,./A photo of Steve Claridge
228,This person's native language is,Lisa Ekdahl,This person's,./A photo of Lisa Ekdahl
229,This train line is located in the country of,Ginza Line,This train,./A photo of Ginza Line
230,This processor is a product developed by,Core 2,This processor,./A photo of Core 2
231,This person performs on the,Francis Poulenc,This person,./A photo of Francis Poulenc
232,"In this city, the language spoken is",Raseborg,"this city,",./A photo of Raseborg
233,This composer worked in the city of,Benjamin Britten,This composer,./A photo of Benjamin Britten
234,"In this country, the language spoken is a mix of",Seychelles,"this country,",./A photo of Seychelles
235,This musician performs on the,Count Basie,This musician,./A photo of Count Basie
236,The headquarter of this educational institution is in,State University of New York,this educational,./A photo of State University of New York
237,This person originates from the city of,Bilal ibn Ribah,This person,./A photo of Bilal ibn Ribah
238,"In this municipality, the language spoken is",Sundsvall Municipality,"this municipality,",./A photo of Sundsvall Municipality
239,This player professionally plays the sport of,Walter Payton,This player,./A photo of Walter Payton
240,This person was born in the city of,Riona Hazuki,This person,./A photo of Riona Hazuki
241,This station is owned by the,Gangnam Station,This station,./A photo of Gangnam Station
242,This town is located in the country of,Siemiatycze,This town,./A photo of Siemiatycze
243,This person holds the title of the first openly gay,Annise Parker,This person,./A photo of Annise Parker
244,This song is written in,Optimistique-moi,This song,./A photo of Optimistique-moi
245,This player professionally plays the sport of,Maurice Richard,This player,./A photo of Maurice Richard
246,This ruler follows the religion of,Farouk of Egypt,This ruler,./A photo of Farouk of Egypt
247,This person's profession is a bit similar to that of a,David Weigel,This person's,./A photo of David Weigel
248,This show debuted on,Meet the Press,This show,./A photo of Meet the Press
249,This database is owned by,Knowledge Graph,This database,./A photo of Knowledge Graph
250,This software is a product developed by,File Explorer,This software,./A photo of File Explorer
251,"This band, founded in 1991, is a feminist punk band from",Sleater-Kinney,"This band,",./A photo of Sleater-Kinney
252,This person plays in the position of a defensive,Vegard Skogheim,This person,./A photo of Vegard Skogheim
253,This person was born in the country of,Dannii Minogue,This person,./A photo of Dannii Minogue
254,"This place, which was named after the city of",Kyōto Prefecture,"This place,",./A photo of Kyōto Prefecture
255,This person worked in the city of,Jean Tinguely,This person,./A photo of Jean Tinguely
256,This landmark is within the city limits of the city of,Galata,This landmark,./A photo of Galata
257,This company is headquartered in,Godrej Consumer Products Limited,This company,./A photo of Godrej Consumer Products Limited
258,This person was born in,Henri Estienne,This person,./A photo of Henri Estienne
259,This series was created in the country of,Hidamari Sketch,This series,./A photo of Hidamari Sketch
260,This artist died in the city of,Sandro Botticelli,This artist,./A photo of Sandro Botticelli
261,The genre played by this person is the same as the one played by the great,Count Basie,this person,./A photo of Count Basie
262,This person professionally plays the sport of,Bubba Smith,This person,./A photo of Bubba Smith
263,This country belongs to the continent of,Afghanistan,This country,./A photo of Afghanistan
264,This work was originally written in the language of,Tusculanae Disputationes,This work,./A photo of Tusculanae Disputationes
265,This person is employed by,Satoru Iwata,This person,./A photo of Satoru Iwata
266,This person follows the religion of,Hyder Ali,This person,./A photo of Hyder Ali
267,This person is a citizen of,Mykola Tomenko,This person,./A photo of Mykola Tomenko
268,This mountain is located in the continent of,Mount Cocks,This mountain,./A photo of Mount Cocks
269,This person's native language is,Maurice Faure,This person's,./A photo of Maurice Faure
270,"This person, who works as a",Jacobo Zabludovsky,"This person,",./A photo of Jacobo Zabludovsky
271,This city is in the heart of the,Lufkin,This city,./A photo of Lufkin
272,This component is a product of the,Platform Controller Hub,This component,./A photo of Platform Controller Hub
273,This person held the position of the first,Saint Perpetuus,This person,./A photo of Saint Perpetuus
274,This player professionally plays the sport of ice,Jaromír Jágr,This player,./A photo of Jaromír Jágr
275,This series premieres on,Show Me a Hero,This series,./A photo of Show Me a Hero
276,This organization is a part of the,Brazilian Football Confederation,This organization,./A photo of Brazilian Football Confederation
277,This person is employed by the,Jeremy Paxman,This person,./A photo of Jeremy Paxman
278,This person is a citizen of,Claude d'Annebault,This person,./A photo of Claude d'Annebault
279,This person is affiliated with the religion of,Sukarno,This person,./A photo of Sukarno
280,This athlete professionally plays the sport of,Tim Horton,This athlete,./A photo of Tim Horton
281,This organization's expertise is in the areas of,Australian Mathematical Society,This organization's,./A photo of Australian Mathematical Society
282,"This variety of grape, which is named for the region of",Cabernet Franc,This variety of grape,./A photo of Cabernet Franc
283,This person works for the,Greg Dyke,This person,./A photo of Greg Dyke
284,"This person, who has the position of a",Germanus of Auxerre,"This person,",./A photo of Germanus of Auxerre
285,This game features a genre of,RuneScape,This game,./A photo of RuneScape
286,This person is originally from,Eiko Koike,This person,./A photo of Eiko Koike
287,This player plays in the position of,Josh McCown,This player,./A photo of Josh McCown
288,"This person, who has a citizenship of",Frederick Noronha,"This person,",./A photo of Frederick Noronha
289,This gang was created in the early 1980s by a group of,North Side Gang,This gang,./A photo of North Side Gang
290,This person worked in the city of,Franz Xaver Gabelsberger,This person,./A photo of Franz Xaver Gabelsberger
291,This place is located in the country of,"Saint-Louis-de-Kent, New Brunswick",This place,"./A photo of Saint-Louis-de-Kent, New Brunswick"
292,"This person, who has the position of a",Quirinus of Sescia,"This person,",./A photo of Quirinus of Sescia
293,This person worked in the city of,Otto von Bismarck,This person,./A photo of Otto von Bismarck
294,This medical college is located in the country of,Christian Medical College Ludhiana,This medical,./A photo of Christian Medical College Ludhiana
295,The capital city of this empire is,Austrian Empire,this empire,./A photo of Austrian Empire
296,This text is written in the,Masoretic Text,This text,./A photo of Masoretic Text
297,This person is native to,Inoue Genan Inseki,This person,./A photo of Inoue Genan Inseki
298,This software was created by a team of developers from the,IntelliPoint,This software,./A photo of IntelliPoint
299,The native language of this person is,Pierre Blanchar,this person,./A photo of Pierre Blanchar
300,This person plays in the position of a defensive,Ivan Gudelj,This person,./A photo of Ivan Gudelj
301,This institute's expertise is in the areas of,Courant Institute of Mathematical Sciences,This institute's,./A photo of Courant Institute of Mathematical Sciences
302,This person was born in,Alexandre Mercereau,This person,./A photo of Alexandre Mercereau
303,The headquarter of this company is in,Russian Post,this company,./A photo of Russian Post
304,This conflict is located in the north-west of,Taliban insurgency,This conflict,./A photo of Taliban insurgency
305,The location of this school is in,Edina High School,this school,./A photo of Edina High School
306,This fashion company originated in,Prada,This fashion,./A photo of Prada
307,This person died in the city of,Paul Morand,This person,./A photo of Paul Morand
308,This player plays in the position of,Mike Piazza,This player,./A photo of Mike Piazza
309,This character was created in the country of his birth.,Lupin III,This character,./A photo of Lupin III
310,This city is located in the country of,Marugame,This city,./A photo of Marugame
311,This book's language is a perfect example of the way that the,Anna Karenina,This book's,./A photo of Anna Karenina
312,"This person, who previously held the position of the",Benedict XVI,This person,./A photo of Benedict XVI
313,This profession works in the field of,air traffic control,This profession,./A photo of air traffic control
314,This product line is developed by,Amiibo,This product,./A photo of Amiibo
315,This person's native language is,Sergey Aksyonov,This person's,./A photo of Sergey Aksyonov
316,This person speaks during a news conference at the,Francis Blanche,This person,./A photo of Francis Blanche
317,The original language of this film was written in the,Kadhalil Sodhappuvadhu Yeppadi,this film,./A photo of Kadhalil Sodhappuvadhu Yeppadi
318,This accessory is developed by,PlayStation Eye,This accessory,./A photo of PlayStation Eye
319,This person worked in the city of,Georges Ernest Boulanger,This person,./A photo of Georges Ernest Boulanger
320,The original language of this film is a,Ma vie en rose,this film,./A photo of Ma vie en rose
321,This person's native language is,Georges Pompidou,This person's,./A photo of Georges Pompidou
322,This mobile operating system is developed by,Windows Phone 7,This mobile,./A photo of Windows Phone 7
323,This athlete plays in the position of,Barry Zito,This athlete,./A photo of Barry Zito
324,This person follows the religion of,Ruhollah Khomeini,This person,./A photo of Ruhollah Khomeini
325,This smartphone is developed by,iPhone,This smartphone,./A photo of iPhone
326,This publication is written in,Charlie Hebdo,This publication,./A photo of Charlie Hebdo
327,This person is known for performing in the world's most prestigious,Alexander Knaifel,This person,./A photo of Alexander Knaifel
328,This person passed away in a hospital in the city of,Morteza Momayez,This person,./A photo of Morteza Momayez
329,The owner of this historic landmark is,Rancho Petaluma Adobe,this historic,./A photo of Rancho Petaluma Adobe
330,"This person, who works as a",Hilaire Belloc,"This person,",./A photo of Hilaire Belloc
331,"This media organization, that originated in",Hellenic Broadcasting Corporation,This media,./A photo of Hellenic Broadcasting Corporation
332,This song is written in the,aloha,This song,./A photo of aloha
333,This person was born in,Mako Idemitsu,This person,./A photo of Mako Idemitsu
334,This person is affiliated with the religion of,Uqba ibn Nafi,This person,./A photo of Uqba ibn Nafi
335,"In this place, the language spoken is a mixture of",Aarau,"this place,",./A photo of Aarau
336,"This place, in the north-east of",Mizoram,"This place,",./A photo of Mizoram
337,This player professionally plays the sport of,Moses Malone,This player,./A photo of Moses Malone
338,This strait is located in the continent of,Gerlache Strait,This strait,./A photo of Gerlache Strait
339,This location is a part of the continent of,Hurricane Ridge,This location,./A photo of Hurricane Ridge
340,This platform is owned by,YouTube,This platform,./A photo of YouTube
341,This person works in the area of theoretical,Michio Kaku,This person,./A photo of Michio Kaku
342,"In this city, the language spoken is",Petrozavodsk,"this city,",./A photo of Petrozavodsk
343,"This person, associated with the company of",Phil Knight,"This person,",./A photo of Phil Knight
344,This person's profession is to be a,Martha Nussbaum,This person's,./A photo of Martha Nussbaum
345,This person is employed by,Paul Otellini,This person,./A photo of Paul Otellini
346,This person's profession is an,Yanis Varoufakis,This person's,./A photo of Yanis Varoufakis
347,This person performs on the,George Martin,This person,./A photo of George Martin
348,This glacier belongs to the continent of,Howard Glacier,This glacier,./A photo of Howard Glacier
349,This street can be found in the heart of,Fifth Avenue,This street,./A photo of Fifth Avenue
350,This organization is a part of the,National Football Federation of Guatemala,This organization,./A photo of National Football Federation of Guatemala
351,"This car, produced by",Alfa Romeo MiTo,"This car,",./A photo of Alfa Romeo MiTo
352,This brand was founded in,Rimmel,This brand,./A photo of Rimmel
