,question,director,main_entity,image_url
30,Name a movie directed by this director?,Gerard Damiano,this director,./A photo of Gerard Damiano
31,Name a movie directed by this director?,Sergey Dvortsevoy,this director,./A photo of Sergey Dvortsevoy
32,Name a movie directed by this director?,Ang Lee,this director,./A photo of Ang Lee
33,Name a movie directed by this director?,Burr Steers,this director,./A photo of Burr Steers
34,Name a movie directed by this director?,Charlie Kaufman,this director,./A photo of Charlie Kaufman
35,Name a movie directed by this director?,Sacha Gervasi,this director,./A photo of Sacha Gervasi
36,Name a movie directed by this director?,Keiichi Hara,this director,./A photo of Keiichi Hara
37,Name a movie directed by this director?,Greg Spence,this director,./A photo of Greg Spence
38,Name a movie directed by this director?,David Grossman,this director,./A photo of David Grossman
39,Name a movie directed by this director?,Eldar Ryazanov,this director,./A photo of Eldar Ryazanov
40,Name a movie directed by this director?,Lin-Manuel Miranda,this director,./A photo of Lin-Manuel Miranda
41,Name a movie directed by this director?,Andrew V. McLaglen,this director,./A photo of Andrew V. McLaglen
42,Name a movie directed by this director?,George Sluizer,this director,./A photo of George Sluizer
43,Name a movie directed by this director?,Zoltan Korda,this director,./A photo of Zoltan Korda
44,Name a movie directed by this director?,Marco Schnabel,this director,./A photo of Marco Schnabel
45,Name a movie directed by this director?,George Kirby,this director,./A photo of George Kirby
46,Name a movie directed by this director?,Chad Stahelski,this director,./A photo of Chad Stahelski
47,Name a movie directed by this director?,Arvo Kruusement,this director,./A photo of Arvo Kruusement
48,Name a movie directed by this director?,Remo D'Souza,this director,./A photo of Remo D'Souza
49,Name a movie directed by this director?,J. D. Dillard,this director,./A photo of J. D. Dillard
50,Name a movie directed by this director?,Drew Pearce,this director,./A photo of Drew Pearce
51,Name a movie directed by this director?,Jorge Fons,this director,./A photo of Jorge Fons
52,Name a movie directed by this director?,Leslye Headland,this director,./A photo of Leslye Headland
53,Name a movie directed by this director?,Henri Colpi,this director,./A photo of Henri Colpi
54,Name a movie directed by this director?,Paul Morrison,this director,./A photo of Paul Morrison
55,Name a movie directed by this director?,Chris Sivertson,this director,./A photo of Chris Sivertson
56,Name a movie directed by this director?,Jimmy Chin,this director,./A photo of Jimmy Chin
57,Name a movie directed by this director?,Jalil Lespert,this director,./A photo of Jalil Lespert
58,Name a movie directed by this director?,Rakeysh Omprakash Mehra,this director,./A photo of Rakeysh Omprakash Mehra
59,Name a movie directed by this director?,Rob Thomas,this director,./A photo of Rob Thomas
60,Name a movie directed by this director?,Elizabeth Allen,this director,./A photo of Elizabeth Allen
61,Name a movie directed by this director?,Dan Attias,this director,./A photo of Dan Attias
62,Name a movie directed by this director?,Lulu Wang,this director,./A photo of Lulu Wang
63,Name a movie directed by this director?,Liev Schreiber,this director,./A photo of Liev Schreiber
64,Name a movie directed by this director?,Laura Poitras,this director,./A photo of Laura Poitras
65,Name a movie directed by this director?,George A. Romero,this director,./A photo of George A. Romero
66,Name a movie directed by this director?,Phil Claydon,this director,./A photo of Phil Claydon
67,Name a movie directed by this director?,Bill Duke,this director,./A photo of Bill Duke
68,Name a movie directed by this director?,Ennio Torresan,this director,./A photo of Ennio Torresan
69,Name a movie directed by this director?,Petter Næss,this director,./A photo of Petter Næss
70,Name a movie directed by this director?,Stuart Baird,this director,./A photo of Stuart Baird
71,Name a movie directed by this director?,Mikhail Ulyanov,this director,./A photo of Mikhail Ulyanov
72,Name a movie directed by this director?,Darius Marder,this director,./A photo of Darius Marder
73,Name a movie directed by this director?,Ben Wheatley,this director,./A photo of Ben Wheatley
74,Name a movie directed by this director?,Jon Lucas,this director,./A photo of Jon Lucas
75,Name a movie directed by this director?,Gia Coppola,this director,./A photo of Gia Coppola
76,Name a movie directed by this director?,Kenneth Branagh,this director,./A photo of Kenneth Branagh
77,Name a movie directed by this director?,Pierre Coffin,this director,./A photo of Pierre Coffin
78,Name a movie directed by this director?,Ana Clavell,this director,./A photo of Ana Clavell
79,Name a movie directed by this director?,Cy Endfield,this director,./A photo of Cy Endfield
80,Name a movie directed by this director?,Hannes Holm,this director,./A photo of Hannes Holm
81,Name a movie directed by this director?,Ken Marino,this director,./A photo of Ken Marino
82,Name a movie directed by this director?,Mehboob Khan,this director,./A photo of Mehboob Khan
83,Name a movie directed by this director?,John Glen,this director,./A photo of John Glen
84,Name a movie directed by this director?,Carlos Reygadas,this director,./A photo of Carlos Reygadas
85,Name a movie directed by this director?,Jonathan Kaplan,this director,./A photo of Jonathan Kaplan
86,Name a movie directed by this director?,Krzysztof Kieślowski,this director,./A photo of Krzysztof Kieślowski
87,Name a movie directed by this director?,Bob Spiers,this director,./A photo of Bob Spiers
88,Name a movie directed by this director?,Stacy Title,this director,./A photo of Stacy Title
89,Name a movie directed by this director?,Tommy Lee Wallace,this director,./A photo of Tommy Lee Wallace
90,Name a movie directed by this director?,Siddiq Barmak,this director,./A photo of Siddiq Barmak
91,Name a movie directed by this director?,Elite Zexer,this director,./A photo of Elite Zexer
92,Name a movie directed by this director?,Ján Kadár,this director,./A photo of Ján Kadár
93,Name a movie directed by this director?,Mitchell Lichtenstein,this director,./A photo of Mitchell Lichtenstein
94,Name a movie directed by this director?,Mike Bigelow,this director,./A photo of Mike Bigelow
95,Name a movie directed by this director?,Clark Gregg,this director,./A photo of Clark Gregg
96,Name a movie directed by this director?,Marc Munden,this director,./A photo of Marc Munden
97,Name a movie directed by this director?,Oliver Daly,this director,./A photo of Oliver Daly
98,Name a movie directed by this director?,Pen Densham,this director,./A photo of Pen Densham
99,Name a movie directed by this director?,Masayuki Ochiai,this director,./A photo of Masayuki Ochiai
100,Name a movie directed by this director?,Indra Kumar,this director,./A photo of Indra Kumar
101,Name a movie directed by this director?,William Shatner,this director,./A photo of William Shatner
102,Name a movie directed by this director?,Amol Palekar,this director,./A photo of Amol Palekar
103,Name a movie directed by this director?,Robert J. Flaherty,this director,./A photo of Robert J. Flaherty
104,Name a movie directed by this director?,Bruce A. Evans,this director,./A photo of Bruce A. Evans
105,Name a movie directed by this director?,Lina Wertmüller,this director,./A photo of Lina Wertmüller
106,Name a movie directed by this director?,Robert Gordon,this director,./A photo of Robert Gordon
107,Name a movie directed by this director?,Alexander Payne,this director,./A photo of Alexander Payne
108,Name a movie directed by this director?,Darnell Martin,this director,./A photo of Darnell Martin
109,Name a movie directed by this director?,Arantxa Echevarría,this director,./A photo of Arantxa Echevarría
110,Name a movie directed by this director?,Tomm Moore,this director,./A photo of Tomm Moore
111,Name a movie directed by this director?,Edward F. Cline,this director,./A photo of Edward F. Cline
112,Name a movie directed by this director?,Bimal Roy,this director,./A photo of Bimal Roy
113,Name a movie directed by this director?,Mic Rodgers,this director,./A photo of Mic Rodgers
114,Name a movie directed by this director?,Rémy Belvaux,this director,./A photo of Rémy Belvaux
115,Name a movie directed by this director?,Nicholas Ray,this director,./A photo of Nicholas Ray
116,Name a movie directed by this director?,Ulu Grosbard,this director,./A photo of Ulu Grosbard
117,Name a movie directed by this director?,Stanislav Govorukhin,this director,./A photo of Stanislav Govorukhin
118,Name a movie directed by this director?,Mikkel Nørgaard,this director,./A photo of Mikkel Nørgaard
119,Name a movie directed by this director?,Tom Hooper,this director,./A photo of Tom Hooper
120,Name a movie directed by this director?,Philip Dunne,this director,./A photo of Philip Dunne
121,Name a movie directed by this director?,David Maysles,this director,./A photo of David Maysles
122,Name a movie directed by this director?,Frank Henenlotter,this director,./A photo of Frank Henenlotter
123,Name a movie directed by this director?,Steven C. Miller,this director,./A photo of Steven C. Miller
124,Name a movie directed by this director?,Lee Si-myeong,this director,./A photo of Lee Si-myeong
125,Name a movie directed by this director?,Darren Stein,this director,./A photo of Darren Stein
126,Name a movie directed by this director?,James Tinling,this director,./A photo of James Tinling
127,Name a movie directed by this director?,Jane Campion,this director,./A photo of Jane Campion
128,Name a movie directed by this director?,Jacques Perrin,this director,./A photo of Jacques Perrin
129,Name a movie directed by this director?,Roland West,this director,./A photo of Roland West
130,Name a movie directed by this director?,Marcus Dunstan,this director,./A photo of Marcus Dunstan
131,Name a movie directed by this director?,Scott Frank,this director,./A photo of Scott Frank
132,Name a movie directed by this director?,Nicole Holofcener,this director,./A photo of Nicole Holofcener
133,Name a movie directed by this director?,Todd Phillips,this director,./A photo of Todd Phillips
134,Name a movie directed by this director?,John Krasinski,this director,./A photo of John Krasinski
135,Name a movie directed by this director?,Nicolai Fuglsig,this director,./A photo of Nicolai Fuglsig
136,Name a movie directed by this director?,Eran Kolirin,this director,./A photo of Eran Kolirin
137,Name a movie directed by this director?,Curtis Bernhardt,this director,./A photo of Curtis Bernhardt
138,Name a movie directed by this director?,Martin Weisz,this director,./A photo of Martin Weisz
139,Name a movie directed by this director?,Gabriele Muccino,this director,./A photo of Gabriele Muccino
140,Name a movie directed by this director?,Bakhtyar Khudojnazarov,this director,./A photo of Bakhtyar Khudojnazarov
141,Name a movie directed by this director?,Simon Kinberg,this director,./A photo of Simon Kinberg
142,Name a movie directed by this director?,Daniel Ragussis,this director,./A photo of Daniel Ragussis
143,Name a movie directed by this director?,Kim Druzhinin,this director,./A photo of Kim Druzhinin
144,Name a movie directed by this director?,George Roy Hill,this director,./A photo of George Roy Hill
145,Name a movie directed by this director?,Marc Meyers,this director,./A photo of Marc Meyers
146,Name a movie directed by this director?,Edward Watts,this director,./A photo of Edward Watts
147,Name a movie directed by this director?,Mohammad Rasoulof,this director,./A photo of Mohammad Rasoulof
148,Name a movie directed by this director?,Andrew Marton,this director,./A photo of Andrew Marton
149,Name a movie directed by this director?,Robert Siodmak,this director,./A photo of Robert Siodmak
150,Name a movie directed by this director?,Keenen Ivory Wayans,this director,./A photo of Keenen Ivory Wayans
151,Name a movie directed by this director?,Francine McDougall,this director,./A photo of Francine McDougall
152,Name a movie directed by this director?,Navot Papushado,this director,./A photo of Navot Papushado
153,Name a movie directed by this director?,William Keighley,this director,./A photo of William Keighley
154,Name a movie directed by this director?,John Gray,this director,./A photo of John Gray
155,Name a movie directed by this director?,Gonzalo López-Gallego,this director,./A photo of Gonzalo López-Gallego
156,Name a movie directed by this director?,Nic Mathieu,this director,./A photo of Nic Mathieu
157,Name a movie directed by this director?,Richard Rush,this director,./A photo of Richard Rush
158,Name a movie directed by this director?,Lau Kar-leung,this director,./A photo of Lau Kar-leung
159,Name a movie directed by this director?,Deniz Gamze Ergüven,this director,./A photo of Deniz Gamze Ergüven
160,Name a movie directed by this director?,James Gray,this director,./A photo of James Gray
161,Name a movie directed by this director?,Andrew Fleming,this director,./A photo of Andrew Fleming
162,Name a movie directed by this director?,Clint Eastwood,this director,./A photo of Clint Eastwood
163,Name a movie directed by this director?,Stephen Saint Leger,this director,./A photo of Stephen Saint Leger
164,Name a movie directed by this director?,Brian DeCubellis,this director,./A photo of Brian DeCubellis
165,Name a movie directed by this director?,Kazuki Ōmori,this director,./A photo of Kazuki Ōmori
166,Name a movie directed by this director?,Spike Lee,this director,./A photo of Spike Lee
167,Name a movie directed by this director?,Steve Antin,this director,./A photo of Steve Antin
168,Name a movie directed by this director?,István Szabó,this director,./A photo of István Szabó
169,Name a movie directed by this director?,Ofir Raul Graizer,this director,./A photo of Ofir Raul Graizer
170,Name a movie directed by this director?,Roger Vadim,this director,./A photo of Roger Vadim
171,Name a movie directed by this director?,Leonid Eidlin,this director,./A photo of Leonid Eidlin
172,Name a movie directed by this director?,Irvin Yeaworth,this director,./A photo of Irvin Yeaworth
173,Name a movie directed by this director?,Bryan Michael Stoller,this director,./A photo of Bryan Michael Stoller
174,Name a movie directed by this director?,Rodo Sayagues,this director,./A photo of Rodo Sayagues
175,Name a movie directed by this director?,Martin Scorsese,this director,./A photo of Martin Scorsese
176,Name a movie directed by this director?,Michael Matthews,this director,./A photo of Michael Matthews
177,Name a movie directed by this director?,Pawan Wadeyar,this director,./A photo of Pawan Wadeyar
178,Name a movie directed by this director?,Mick Davis,this director,./A photo of Mick Davis
179,Name a movie directed by this director?,Jeffrey Friedman,this director,./A photo of Jeffrey Friedman
180,Name a movie directed by this director?,Shane Meadows,this director,./A photo of Shane Meadows
181,Name a movie directed by this director?,Roschdy Zem,this director,./A photo of Roschdy Zem
182,Name a movie directed by this director?,Nikita Mikhalkov,this director,./A photo of Nikita Mikhalkov
183,Name a movie directed by this director?,Mikhail Romm,this director,./A photo of Mikhail Romm
184,Name a movie directed by this director?,Lilly Wachowski,this director,./A photo of Lilly Wachowski
185,Name a movie directed by this director?,Richard Attenborough,this director,./A photo of Richard Attenborough
186,Name a movie directed by this director?,Todd Graff,this director,./A photo of Todd Graff
187,Name a movie directed by this director?,Bill Forsyth,this director,./A photo of Bill Forsyth
188,Name a movie directed by this director?,Maurice Tourneur,this director,./A photo of Maurice Tourneur
189,Name a movie directed by this director?,Charles Brabin,this director,./A photo of Charles Brabin
190,Name a movie directed by this director?,Raman Hui,this director,./A photo of Raman Hui
191,Name a movie directed by this director?,Bryan Singer,this director,./A photo of Bryan Singer
192,Name a movie directed by this director?,Prashanth Neel,this director,./A photo of Prashanth Neel
193,Name a movie directed by this director?,Jerome Tanner,this director,./A photo of Jerome Tanner
194,Name a movie directed by this director?,Charles Barton,this director,./A photo of Charles Barton
195,Name a movie directed by this director?,Stuart Hazeldine,this director,./A photo of Stuart Hazeldine
196,Name a movie directed by this director?,Tatsuyuki Nagai,this director,./A photo of Tatsuyuki Nagai
197,Name a movie directed by this director?,Jessica Hausner,this director,./A photo of Jessica Hausner
198,Name a movie directed by this director?,Gregory Jacobs,this director,./A photo of Gregory Jacobs
199,Name a movie directed by this director?,Pitof,this director,./A photo of Pitof
200,Name a movie directed by this director?,Patrick Hughes,this director,./A photo of Patrick Hughes
201,Name a movie directed by this director?,Alexandre Aja,this director,./A photo of Alexandre Aja
202,Name a movie directed by this director?,Edward Zwick,this director,./A photo of Edward Zwick
203,Name a movie directed by this director?,Antonio Pietrangeli,this director,./A photo of Antonio Pietrangeli
204,Name a movie directed by this director?,Yevgeny Slavinsky,this director,./A photo of Yevgeny Slavinsky
205,Name a movie directed by this director?,Paul McGuigan,this director,./A photo of Paul McGuigan
206,Name a movie directed by this director?,Vladimir Menshov,this director,./A photo of Vladimir Menshov
207,Name a movie directed by this director?,Miguel Arteta,this director,./A photo of Miguel Arteta
208,Name a movie directed by this director?,Seth Kearsley,this director,./A photo of Seth Kearsley
209,Name a movie directed by this director?,Pippa Ehrlich,this director,./A photo of Pippa Ehrlich
210,Name a movie directed by this director?,Farah Khan,this director,./A photo of Farah Khan
211,Name a movie directed by this director?,Diao Yinan,this director,./A photo of Diao Yinan
212,Name a movie directed by this director?,Carlo Ludovico Bragaglia,this director,./A photo of Carlo Ludovico Bragaglia
213,Name a movie directed by this director?,A. Wise Guy,this director,./A photo of A. Wise Guy
214,Name a movie directed by this director?,Zhang Yimou,this director,./A photo of Zhang Yimou
215,Name a movie directed by this director?,Guy Davidi,this director,./A photo of Guy Davidi
216,Name a movie directed by this director?,Gavin Wiesen,this director,./A photo of Gavin Wiesen
217,Name a movie directed by this director?,Stefan Ruzowitzky,this director,./A photo of Stefan Ruzowitzky
218,Name a movie directed by this director?,Gauri Shinde,this director,./A photo of Gauri Shinde
219,Name a movie directed by this director?,Louis de Funès,this director,./A photo of Louis de Funès
220,Name a movie directed by this director?,Marc Silverstein,this director,./A photo of Marc Silverstein
221,Name a movie directed by this director?,Bryan Spicer,this director,./A photo of Bryan Spicer
222,Name a movie directed by this director?,Cathy Yan,this director,./A photo of Cathy Yan
223,Name a movie directed by this director?,Anees Bazmee,this director,./A photo of Anees Bazmee
224,Name a movie directed by this director?,Matthew Heineman,this director,./A photo of Matthew Heineman
225,Name a movie directed by this director?,Paul Newman,this director,./A photo of Paul Newman
226,Name a movie directed by this director?,Houda Benyamina,this director,./A photo of Houda Benyamina
227,Name a movie directed by this director?,Martin Zandvliet,this director,./A photo of Martin Zandvliet
228,Name a movie directed by this director?,Lisa Azuelos,this director,./A photo of Lisa Azuelos
229,Name a movie directed by this director?,Brad Furman,this director,./A photo of Brad Furman
230,Name a movie directed by this director?,Andrew Lau,this director,./A photo of Andrew Lau
231,Name a movie directed by this director?,Severin Fiala,this director,./A photo of Severin Fiala
232,Name a movie directed by this director?,Nadine Labaki,this director,./A photo of Nadine Labaki
233,Name a movie directed by this director?,Harry Elfont,this director,./A photo of Harry Elfont
234,Name a movie directed by this director?,Robert Ellis Miller,this director,./A photo of Robert Ellis Miller
235,Name a movie directed by this director?,Jordan Vogt-Roberts,this director,./A photo of Jordan Vogt-Roberts
236,Name a movie directed by this director?,Frédéric Fonteyne,this director,./A photo of Frédéric Fonteyne
237,Name a movie directed by this director?,Castille Landon,this director,./A photo of Castille Landon
238,Name a movie directed by this director?,Nicolas Winding Refn,this director,./A photo of Nicolas Winding Refn
239,Name a movie directed by this director?,Carl Schultz,this director,./A photo of Carl Schultz
240,Name a movie directed by this director?,Marcel Camus,this director,./A photo of Marcel Camus
241,Name a movie directed by this director?,Steve Barron,this director,./A photo of Steve Barron
242,Name a movie directed by this director?,George Marshall,this director,./A photo of George Marshall
243,Name a movie directed by this director?,Lon Chaney,this director,./A photo of Lon Chaney
244,Name a movie directed by this director?,Renée Taylor,this director,./A photo of Renée Taylor
245,Name a movie directed by this director?,Robert Zemeckis,this director,./A photo of Robert Zemeckis
246,Name a movie directed by this director?,Mike Rianda,this director,./A photo of Mike Rianda
247,Name a movie directed by this director?,Aditya Chopra,this director,./A photo of Aditya Chopra
248,Name a movie directed by this director?,David Moreau,this director,./A photo of David Moreau
249,Name a movie directed by this director?,Kinji Fukasaku,this director,./A photo of Kinji Fukasaku
250,Name a movie directed by this director?,Jacques Rivette,this director,./A photo of Jacques Rivette
251,Name a movie directed by this director?,Bruno Dumont,this director,./A photo of Bruno Dumont
252,Name a movie directed by this director?,Claude Berri,this director,./A photo of Claude Berri
253,Name a movie directed by this director?,Hans Steinhoff,this director,./A photo of Hans Steinhoff
254,Name a movie directed by this director?,Andrew Erwin,this director,./A photo of Andrew Erwin
255,Name a movie directed by this director?,Gilbert Ronaldo Salgado,this director,./A photo of Gilbert Ronaldo Salgado
256,Name a movie directed by this director?,Paul Thomas Anderson,this director,./A photo of Paul Thomas Anderson
257,Name a movie directed by this director?,Christian Ditter,this director,./A photo of Christian Ditter
258,Name a movie directed by this director?,Barbra Streisand,this director,./A photo of Barbra Streisand
259,Name a movie directed by this director?,Anders Weberg,this director,./A photo of Anders Weberg
260,Name a movie directed by this director?,James Whale,this director,./A photo of James Whale
261,Name a movie directed by this director?,Pascale Ferran,this director,./A photo of Pascale Ferran
262,Name a movie directed by this director?,Bohdan Sláma,this director,./A photo of Bohdan Sláma
263,Name a movie directed by this director?,George Lucas,this director,./A photo of George Lucas
264,Name a movie directed by this director?,Pawo Choyning Dorji,this director,./A photo of Pawo Choyning Dorji
265,Name a movie directed by this director?,Gregory Hoblit,this director,./A photo of Gregory Hoblit
266,Name a movie directed by this director?,Jean-Baptiste Andrea,this director,./A photo of Jean-Baptiste Andrea
267,Name a movie directed by this director?,Edward Berger,this director,./A photo of Edward Berger
268,Name a movie directed by this director?,Gilles Paquet-Brenner,this director,./A photo of Gilles Paquet-Brenner
269,Name a movie directed by this director?,Éric Toledano,this director,./A photo of Éric Toledano
270,Name a movie directed by this director?,Tom Brady,this director,./A photo of Tom Brady
271,Name a movie directed by this director?,Gerard Bush,this director,./A photo of Gerard Bush
272,Name a movie directed by this director?,Tom Tykwer,this director,./A photo of Tom Tykwer
273,Name a movie directed by this director?,Russ Meyer,this director,./A photo of Russ Meyer
274,Name a movie directed by this director?,Lucian Pintilie,this director,./A photo of Lucian Pintilie
275,Name a movie directed by this director?,Kaneto Shindō,this director,./A photo of Kaneto Shindō
276,Name a movie directed by this director?,Uli Edel,this director,./A photo of Uli Edel
277,Name a movie directed by this director?,Marcos Kaplan,this director,./A photo of Marcos Kaplan
278,Name a movie directed by this director?,John Waters,this director,./A photo of John Waters
279,Name a movie directed by this director?,Giulio Base,this director,./A photo of Giulio Base
280,Name a movie directed by this director?,Henrik Ruben Genz,this director,./A photo of Henrik Ruben Genz
281,Name a movie directed by this director?,Matt Ross,this director,./A photo of Matt Ross
282,Name a movie directed by this director?,S. Shankar,this director,./A photo of S. Shankar
283,Name a movie directed by this director?,Larysa Kondracki,this director,./A photo of Larysa Kondracki
284,Name a movie directed by this director?,Henry Joost,this director,./A photo of Henry Joost
285,Name a movie directed by this director?,Orestes Calpini,this director,./A photo of Orestes Calpini
286,Name a movie directed by this director?,Sylvester Stallone,this director,./A photo of Sylvester Stallone
287,Name a movie directed by this director?,Stéphane Brizé,this director,./A photo of Stéphane Brizé
288,Name a movie directed by this director?,Herschell Gordon Lewis,this director,./A photo of Herschell Gordon Lewis
289,Name a movie directed by this director?,Keishi Ōtomo,this director,./A photo of Keishi Ōtomo
290,Name a movie directed by this director?,Wanda Jakubowska,this director,./A photo of Wanda Jakubowska
291,Name a movie directed by this director?,Bent Hamer,this director,./A photo of Bent Hamer
292,Name a movie directed by this director?,Marco Pontecorvo,this director,./A photo of Marco Pontecorvo
293,Name a movie directed by this director?,Aleksey Batalov,this director,./A photo of Aleksey Batalov
294,Name a movie directed by this director?,Robert Longo,this director,./A photo of Robert Longo
295,Name a movie directed by this director?,Don Hulette,this director,./A photo of Don Hulette
296,Name a movie directed by this director?,Jake Scott,this director,./A photo of Jake Scott
297,Name a movie directed by this director?,Sebastián Lelio,this director,./A photo of Sebastián Lelio
298,Name a movie directed by this director?,Daniel Lee,this director,./A photo of Daniel Lee
299,Name a movie directed by this director?,Harmony Korine,this director,./A photo of Harmony Korine
300,Name a movie directed by this director?,Hanns Heinz Ewers,this director,./A photo of Hanns Heinz Ewers
301,Name a movie directed by this director?,Roy Ward Baker,this director,./A photo of Roy Ward Baker
302,Name a movie directed by this director?,Brett Simon,this director,./A photo of Brett Simon
303,Name a movie directed by this director?,Brett Leonard,this director,./A photo of Brett Leonard
304,Name a movie directed by this director?,Yuliya Solntseva,this director,./A photo of Yuliya Solntseva
305,Name a movie directed by this director?,Phil Karlson,this director,./A photo of Phil Karlson
306,Name a movie directed by this director?,François Ozon,this director,./A photo of François Ozon
307,Name a movie directed by this director?,Mark DiSalle,this director,./A photo of Mark DiSalle
308,Name a movie directed by this director?,Paul Feig,this director,./A photo of Paul Feig
309,Name a movie directed by this director?,Lloyd Bacon,this director,./A photo of Lloyd Bacon
310,Name a movie directed by this director?,David Lynch,this director,./A photo of David Lynch
311,Name a movie directed by this director?,Russell Mulcahy,this director,./A photo of Russell Mulcahy
312,Name a movie directed by this director?,Dean Semler,this director,./A photo of Dean Semler
313,Name a movie directed by this director?,George Sidney,this director,./A photo of George Sidney
314,Name a movie directed by this director?,Roger Corman,this director,./A photo of Roger Corman
315,Name a movie directed by this director?,Josh Fox,this director,./A photo of Josh Fox
316,Name a movie directed by this director?,Robert Shaye,this director,./A photo of Robert Shaye
317,Name a movie directed by this director?,Richard Fleischer,this director,./A photo of Richard Fleischer
318,Name a movie directed by this director?,Josh Boone,this director,./A photo of Josh Boone
319,Name a movie directed by this director?,Chris Marker,this director,./A photo of Chris Marker
320,Name a movie directed by this director?,Aaron Seltzer,this director,./A photo of Aaron Seltzer
321,Name a movie directed by this director?,Peter Weir,this director,./A photo of Peter Weir
322,Name a movie directed by this director?,Chantal Akerman,this director,./A photo of Chantal Akerman
323,Name a movie directed by this director?,Mark Dindal,this director,./A photo of Mark Dindal
324,Name a movie directed by this director?,Angela Robinson,this director,./A photo of Angela Robinson
325,Name a movie directed by this director?,Jan-Ole Gerster,this director,./A photo of Jan-Ole Gerster
326,Name a movie directed by this director?,Bill Pohlad,this director,./A photo of Bill Pohlad
327,Name a movie directed by this director?,Jean-Jacques Beineix,this director,./A photo of Jean-Jacques Beineix
328,Name a movie directed by this director?,Geoffrey Sax,this director,./A photo of Geoffrey Sax
329,Name a movie directed by this director?,Richard Stanley,this director,./A photo of Richard Stanley
330,Name a movie directed by this director?,Luis Puenzo,this director,./A photo of Luis Puenzo
331,Name a movie directed by this director?,Martin Campbell,this director,./A photo of Martin Campbell
332,Name a movie directed by this director?,Roland Emmerich,this director,./A photo of Roland Emmerich
333,Name a movie directed by this director?,Bobby Connelly,this director,./A photo of Bobby Connelly
334,Name a movie directed by this director?,David Grovic,this director,./A photo of David Grovic
335,Name a movie directed by this director?,Gianmaria Pezzato,this director,./A photo of Gianmaria Pezzato
336,Name a movie directed by this director?,Akiva Schaffer,this director,./A photo of Akiva Schaffer
337,Name a movie directed by this director?,Justin Reardon,this director,./A photo of Justin Reardon
338,Name a movie directed by this director?,Leopold Lindtberg,this director,./A photo of Leopold Lindtberg
339,Name a movie directed by this director?,David Hackl,this director,./A photo of David Hackl
340,Name a movie directed by this director?,Olivier Ducastel,this director,./A photo of Olivier Ducastel
341,Name a movie directed by this director?,Chris Gorak,this director,./A photo of Chris Gorak
342,Name a movie directed by this director?,Umberto Lenzi,this director,./A photo of Umberto Lenzi
343,Name a movie directed by this director?,Marcelo Piñeyro,this director,./A photo of Marcelo Piñeyro
344,Name a movie directed by this director?,Nicolas Vanier,this director,./A photo of Nicolas Vanier
345,Name a movie directed by this director?,Robert Enrico,this director,./A photo of Robert Enrico
346,Name a movie directed by this director?,Karyn Kusama,this director,./A photo of Karyn Kusama
347,Name a movie directed by this director?,Léonor Serraille,this director,./A photo of Léonor Serraille
